Location,Latitude,Longitude,Rating,Description
"83 Fairlawn Ave, Westlake, Daly City, CA 94015",37.696426,-122.489991,5,"Dishes broke. Damage slight. Ground: Soil, compact, sloping."
"340 Heathcliff, Westview, Daly City, CA 94015",37.6508977,-122.4753411,5,Damage slight. (No details.)
"69 Cliffside Dr, Westlake, Daly City, CA 94015",37.7058587,-122.4831926,5,"Dishes and bric-a-brac broke. Damage slight. Ground: Soil, compact."
"55 Lake Forest Dr, Westlake, Daly City, CA 94015",37.7047786,-122.4810652,5,Paint cracked slightly. Damage slight. Ground: Soil.
"1076 Wildwood Ave, Westlake, Daly City, CA 94015",37.6961295,-122.4934179,5,"Dishes broke. Damage slight. Ground: Compact, sloping."
"147 Glenwood Ave, Olympic Section, Daly City, CA 94014",37.7011566,-122.4882284,5,"Dishes broke. Damage very slight. Ground: Sandy soil, loose."
"60 Lynwood Dr, Westlake, Daly City, CA 94015",37.6800002,-122.4863492,5,"Dishes broke. Damage slight. Ground: Level, sandy, filled in."
"56 Oakmont Dr, Westlake, Daly City, CA 94015",37.6944853,-122.492473,5,"One small dish and a few fruit jars broke. Window broke (previously cracked). Damage slight. Ground: Soil, level."
"115 Crestwood Dr, Westlake, Daly City, CA 94015",37.6989043,-122.4847795,5,Coffee warmer broke. Ground: Sloping.
"625 Larchmont Dr, near Westlake, Daly City, CA 94015",37.6875715,-122.4838179,5,"Dishes and one bottle broke. Ground: Soil, level."
"689 Templeton Ave, Daly City, CA 94014",37.7043939,-122.450373,5,Nothing shifted or fell. No damage.
"Mussel Rock, near State Highway No. 1, Daly City, CA 94014",37.6719822,-122.4943507,7,"Landslide (loosely consolidated sandstone and sand) completely blocked the road at Thornton Bluffs, and highway was extensively cracked along shoulder. Two automobiles were partially buried by the slide. This was reported to be the worst of ten slides between Edgemar and Westlake. Estimated cost of removing dirt and repairing road, $100,000."
"San Bruno, CA 94066",37.6210696,-122.4297369,6,Press reported gas main serving Rollingwood tract broke. Juke box toppled at the Rollingwood Kindergarten. Huge plate glass window completely shattered and furniture overturned at the San Bruno Maple Shop (intersection of El Camino Real and San Mateo Ave.). Several store windows broke. Tile shaken loose at Womacks Department Store on San Mateo Avenue. Tons of canned goods fell at Junipero Serra and Sneath Lane.
"San Francisco International Airport, San Bruno, CA 94066",37.6191145,-122.3816274,6,Underground pipe leaks and breaks in at least six locations. Damage to concrete walls and roof bracing system of one hangar. Airport located on former mud flats.
"San Francisco International Airport, San Bruno, CA 94066",37.6191145,-122.3816274,6,"Motion rapid, violent. Direction E-W. Small objects shifted. Plaster cracked. Damage slight to considerable. Ground: Filled in."
"San Francisco International Airport, San Bruno, CA 94066",37.6191145,-122.3816274,6,"Motion rapid, lasted 15 seconds. Direction N-S. Loud earth noises heard. Small objects and furnishings shifted. Plaster cracked. Damage slight to masonry. Ground: Filled in."
"2160 Fleetwood Dr, San Bruno, CA 94066",37.6328836,-122.4400223,6,"Small objects and furnishings shifted. Dishes broke. Plaster, walls, and ground cracked. Chimney twisted and fell. House twisted and moved about 1/2 inch on foundation. Stucco off house at corner. Damage considerable to brick and masonry. Ground: Claylike soil, steep, filled in."
